,Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
947,Luka Doncic,DAL,@TOR,2021-01-18,L,35,15,4,11,36.4,0,3,0.0,7,8,87.5,2,5,7,9,0,0,3,0,-10,2020-21
948,Tyrell Terry,DAL,@TOR,2021-01-18,L,3,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,0,-4,2020-21
949,Tyler Bey,DAL,@TOR,2021-01-18,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-5,2020-21
950,Bobby Portis,MIL,@BKN,2021-01-18,L,14,4,2,4,50.0,0,0,-,0,0,-,2,5,7,0,1,0,0,2,10,2020-21
951,D.J. Augustin,MIL,@BKN,2021-01-18,L,19,2,0,7,0.0,0,3,0.0,2,2,100,0,0,0,0,0,0,0,0,8,2020-21
952,Reggie Perry,BKN,vs.MIL,2021-01-18,W,10,2,1,4,25.0,0,1,0.0,0,0,-,0,4,4,2,0,0,0,2,-4,2020-21
953,Joe Harris,BKN,vs.MIL,2021-01-18,W,37,20,7,12,58.3,5,7,71.4,1,2,50.0,0,6,6,1,0,0,0,1,5,2020-21
954,Kevin Durant,BKN,vs.MIL,2021-01-18,W,36,30,10,21,47.6,2,4,50.0,8,9,88.9,0,9,9,6,0,2,3,5,0,2020-21
955,Bryn Forbes,MIL,@BKN,2021-01-18,L,11,4,2,7,28.6,0,2,0.0,0,0,-,0,0,0,0,0,0,0,3,-11,2020-21
956,Khris Middleton,MIL,@BKN,2021-01-18,L,36,25,10,20,50.0,0,5,0.0,5,6,83.3,2,2,4,4,4,0,2,4,5,2020-21
957,Jrue Holiday,MIL,@BKN,2021-01-18,L,37,22,8,16,50.0,2,4,50.0,4,4,100,2,2,4,6,0,0,0,2,3,2020-21
958,Landry Shamet,BKN,vs.MIL,2021-01-18,W,11,5,1,2,50.0,1,2,50.0,2,2,100,0,0,0,1,0,0,1,2,-5,2020-21
959,Donte DiVincenzo,MIL,@BKN,2021-01-18,L,31,8,3,9,33.3,2,5,40.0,0,0,-,1,0,1,2,1,0,0,0,-12,2020-21
960,Bruce Brown,BKN,vs.MIL,2021-01-18,W,22,8,3,6,50.0,0,1,0.0,2,2,100,2,4,6,0,1,0,1,1,-2,2020-21
961,Pat Connaughton,MIL,@BKN,2021-01-18,L,18,9,3,5,60.0,3,5,60.0,0,0,-,2,4,6,2,0,0,1,1,11,2020-21
962,Giannis Antetokounmpo,MIL,@BKN,2021-01-18,L,40,34,13,26,50.0,2,6,33.3,6,8,75.0,1,11,12,7,2,0,1,1,-12,2020-21
963,James Harden,BKN,vs.MIL,2021-01-18,W,41,34,13,25,52.0,3,10,30.0,5,6,83.3,1,5,6,12,0,1,6,3,5,2020-21
964,DeAndre Jordan,BKN,vs.MIL,2021-01-18,W,38,12,6,6,100,0,0,-,0,0,-,4,8,12,3,1,2,5,3,5,2020-21
965,Brook Lopez,MIL,@BKN,2021-01-18,L,34,15,5,11,45.5,2,8,25.0,3,4,75.0,1,6,7,0,1,2,1,2,-12,2020-21
966,Jeff Green,BKN,vs.MIL,2021-01-18,W,37,14,5,6,83.3,4,5,80.0,0,0,-,0,6,6,1,0,0,1,1,9,2020-21
967,Timothe Luwawu-Cabarrot,BKN,vs.MIL,2021-01-18,W,9,0,0,2,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,1,-3,2020-21
968,Devin Booker,PHX,@MEM,2021-01-18,L,35,12,5,21,23.8,2,6,33.3,0,0,-,0,3,3,4,2,0,3,4,-10,2020-21
969,Grayson Allen,MEM,vs.PHX,2021-01-18,W,26,16,4,8,50.0,2,5,40.0,6,7,85.7,0,6,6,3,1,0,4,0,12,2020-21
970,Dillon Brooks,MEM,vs.PHX,2021-01-18,W,22,3,1,10,10.0,0,4,0.0,1,2,50.0,0,2,2,3,0,0,1,3,-1,2020-21
971,Tyus Jones,MEM,vs.PHX,2021-01-18,W,22,11,5,8,62.5,1,2,50.0,0,0,-,2,3,5,3,1,0,0,0,17,2020-21
972,Kyle Anderson,MEM,vs.PHX,2021-01-18,W,28,10,4,9,44.4,2,5,40.0,0,0,-,2,6,8,2,2,1,2,4,-1,2020-21
973,Gorgui Dieng,MEM,vs.PHX,2021-01-18,W,15,8,3,5,60.0,1,1,100,1,1,100,0,3,3,2,1,1,0,0,10,2020-21
974,Mikal Bridges,PHX,@MEM,2021-01-18,L,31,17,6,9,66.7,2,5,40.0,3,7,42.9,4,4,8,2,1,1,1,2,-13,2020-21
975,Cameron Payne,PHX,@MEM,2021-01-18,L,17,5,2,3,66.7,1,1,100,0,0,-,0,2,2,4,0,0,1,2,-8,2020-21
976,Frank Kaminsky,PHX,@MEM,2021-01-18,L,13,8,3,7,42.9,2,3,66.7,0,2,0.0,1,4,5,0,0,2,1,0,-9,2020-21
977,Jae Crowder,PHX,@MEM,2021-01-18,L,27,5,2,7,28.6,1,5,20.0,0,0,-,0,2,2,5,2,0,0,1,-1,2020-21
978,Desmond Bane,MEM,vs.PHX,2021-01-18,W,22,10,4,9,44.4,2,4,50.0,0,0,-,0,1,1,2,1,0,2,1,8,2020-21
979,Xavier Tillman,MEM,vs.PHX,2021-01-18,W,29,12,5,8,62.5,1,2,50.0,1,2,50.0,2,4,6,1,2,0,1,4,-7,2020-21
980,John Konchar,MEM,vs.PHX,2021-01-18,W,7,4,2,3,66.7,0,0,-,0,0,-,1,0,1,2,1,0,0,1,-1,2020-21
981,Cameron Johnson,PHX,@MEM,2021-01-18,L,23,10,4,9,44.4,2,5,40.0,0,0,-,3,1,4,3,1,0,2,1,7,2020-21
982,Brandon Clarke,MEM,vs.PHX,2021-01-18,W,35,17,8,13,61.5,1,1,100,0,0,-,2,3,5,3,2,0,1,1,-6,2020-21
983,Chris Paul,PHX,@MEM,2021-01-18,L,31,16,7,13,53.8,2,5,40.0,0,0,-,0,3,3,7,2,0,6,4,5,2020-21
984,Langston Galloway,PHX,@MEM,2021-01-18,L,9,5,2,2,100,1,1,100,0,0,-,0,0,0,1,0,0,0,0,-5,2020-21
985,Jevon Carter,PHX,@MEM,2021-01-18,L,19,8,2,3,66.7,2,3,66.7,2,2,100,0,1,1,1,0,0,1,4,7,2020-21
986,Deandre Ayton,PHX,@MEM,2021-01-18,L,35,18,7,14,50.0,0,2,0.0,4,5,80.0,4,12,16,3,0,1,3,2,7,2020-21
987,Ja Morant,MEM,vs.PHX,2021-01-18,W,34,17,5,10,50.0,1,2,50.0,6,8,75.0,0,3,3,10,2,1,4,1,-11,2020-21
988,Tre Jones,SAS,@POR,2021-01-18,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,2020-21
989,Keldon Johnson,SAS,@POR,2021-01-18,W,25,10,3,6,50.0,1,4,25.0,3,4,75.0,0,4,4,1,0,0,2,2,-2,2020-21
990,Trey Lyles,SAS,@POR,2021-01-18,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,2020-21
991,DeMar DeRozan,SAS,@POR,2021-01-18,W,32,20,6,9,66.7,0,0,-,8,8,100,1,5,6,11,2,0,4,0,9,2020-21
992,LaMarcus Aldridge,SAS,@POR,2021-01-18,W,24,22,10,17,58.8,0,1,0.0,2,2,100,0,2,2,1,1,1,1,0,0,2020-21
993,Derrick Jones Jr.,POR,vs.SAS,2021-01-18,L,30,5,2,4,50.0,0,2,0.0,1,3,33.3,1,4,5,1,2,3,0,1,-2,2020-21
994,Enes Kanter,POR,vs.SAS,2021-01-18,L,27,9,4,8,50.0,0,0,-,1,1,100,2,6,8,5,0,0,1,2,-4,2020-21
995,Keljin Blevins,POR,vs.SAS,2021-01-18,L,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4,2020-21
996,Robert Covington,POR,vs.SAS,2021-01-18,L,29,9,4,8,50.0,1,5,20.0,0,0,-,0,3,3,1,3,0,1,5,2,2020-21
997,Nassir Little,POR,vs.SAS,2021-01-18,L,9,1,0,2,0.0,0,1,0.0,1,2,50.0,1,3,4,0,0,0,0,1,-11,2020-21
998,Damian Lillard,POR,vs.SAS,2021-01-18,L,36,35,10,23,43.5,3,10,30.0,12,12,100,0,3,3,6,1,1,5,2,-3,2020-21
999,Lonnie Walker IV,SAS,@POR,2021-01-18,W,28,5,2,7,28.6,1,5,20.0,0,0,-,0,5,5,2,0,0,2,4,9,2020-21
1000,Carmelo Anthony,POR,vs.SAS,2021-01-18,L,26,14,6,13,46.2,2,3,66.7,0,0,-,0,3,3,2,2,1,1,2,-17,2020-21
1001,Devin Vassell,SAS,@POR,2021-01-18,W,26,6,2,7,28.6,2,5,40.0,0,0,-,2,5,7,4,2,1,0,2,17,2020-21
1002,Gary Trent Jr.,POR,vs.SAS,2021-01-18,L,24,2,1,9,11.1,0,3,0.0,0,0,-,3,0,3,1,0,0,1,0,-11,2020-21
1003,Anfernee Simons,POR,vs.SAS,2021-01-18,L,15,6,2,7,28.6,2,5,40.0,0,0,-,0,0,0,1,0,1,0,1,-22,2020-21
1004,Harry Giles III,POR,vs.SAS,2021-01-18,L,15,2,1,2,50.0,0,0,-,0,0,-,1,2,3,1,0,0,1,1,-20,2020-21
1005,Jakob Poeltl,SAS,@POR,2021-01-18,W,22,11,5,7,71.4,0,0,-,1,2,50.0,6,1,7,1,0,3,2,4,20,2020-21
1006,Dejounte Murray,SAS,@POR,2021-01-18,W,32,9,4,9,44.4,1,3,33.3,0,0,-,0,9,9,11,0,1,1,3,14,2020-21
1007,Rodney Hood,POR,vs.SAS,2021-01-18,L,25,21,9,14,64.3,2,6,33.3,1,1,100,0,2,2,2,1,0,3,0,-13,2020-21
1008,Patty Mills,SAS,@POR,2021-01-18,W,24,21,8,11,72.7,5,7,71.4,0,0,-,0,1,1,1,0,0,0,1,12,2020-21
1009,Rudy Gay,SAS,@POR,2021-01-18,W,24,21,8,17,47.1,5,8,62.5,0,0,-,3,4,7,1,1,0,0,1,24,2020-21
1010,Rajon Rondo,ATL,vs.MIN,2021-01-18,W,8,0,0,2,0.0,0,1,0.0,0,0,-,1,1,2,2,0,0,1,0,-5,2020-21
1011,Josh Okogie,MIN,@ATL,2021-01-18,L,22,4,1,3,33.3,0,1,0.0,2,2,100,1,1,2,2,0,1,1,2,-16,2020-21
1012,Naz Reid,MIN,@ATL,2021-01-18,L,28,9,4,9,44.4,1,2,50.0,0,0,-,0,2,2,1,2,1,2,2,-7,2020-21
1013,Ed Davis,MIN,@ATL,2021-01-18,L,14,4,1,3,33.3,0,0,-,2,2,100,3,1,4,0,2,0,0,2,3,2020-21
1014,Tony Snell,ATL,vs.MIN,2021-01-18,W,13,6,2,2,100,2,2,100,0,0,-,1,0,1,0,0,1,0,3,1,2020-21
1015,Clint Capela,ATL,vs.MIN,2021-01-18,W,39,23,10,16,62.5,0,0,-,3,3,100,4,11,15,2,2,3,4,1,0,2020-21
1016,Malik Beasley,MIN,@ATL,2021-01-18,L,34,15,5,17,29.4,4,10,40.0,1,1,100,0,5,5,3,1,1,3,3,5,2020-21
1017,Trae Young,ATL,vs.MIN,2021-01-18,W,32,20,3,8,37.5,2,5,40.0,12,13,92.3,0,8,8,13,3,0,6,5,12,2020-21
1018,Solomon Hill,ATL,vs.MIN,2021-01-18,W,16,0,0,2,0.0,0,1,0.0,0,0,-,0,1,1,1,1,0,3,0,-10,2020-21
1019,John Collins,ATL,vs.MIN,2021-01-18,W,36,15,6,8,75.0,1,2,50.0,2,2,100,1,6,7,2,0,4,2,2,22,2020-21
1020,Kevin Huerter,ATL,vs.MIN,2021-01-18,W,41,17,7,16,43.8,3,8,37.5,0,0,-,0,6,6,8,4,0,2,0,8,2020-21
1021,Brandon Goodwin,ATL,vs.MIN,2021-01-18,W,19,2,1,10,10.0,0,3,0.0,0,0,-,0,4,4,2,2,0,0,2,10,2020-21
1022,De'Andre Hunter,ATL,vs.MIN,2021-01-18,W,37,25,8,15,53.3,3,6,50.0,6,7,85.7,0,4,4,2,3,0,6,4,17,2020-21
1023,Anthony Edwards,MIN,@ATL,2021-01-18,L,30,12,5,16,31.3,2,5,40.0,0,0,-,1,4,5,2,0,0,1,2,1,2020-21
1024,Jaden McDaniels,MIN,@ATL,2021-01-18,L,12,3,1,4,25.0,1,3,33.3,0,0,-,0,1,1,0,0,0,1,3,-2,2020-21
1025,Jarred Vanderbilt,MIN,@ATL,2021-01-18,L,29,8,3,4,75.0,0,0,-,2,4,50.0,1,7,8,3,3,1,3,3,-17,2020-21
1026,Jarrett Culver,MIN,@ATL,2021-01-18,L,19,7,3,6,50.0,0,0,-,1,2,50.0,2,5,7,0,3,1,3,3,-4,2020-21
1027,D'Angelo Russell,MIN,@ATL,2021-01-18,L,32,31,11,22,50.0,6,13,46.2,3,5,60.0,1,2,3,7,4,1,3,0,-3,2020-21
1028,Jordan McLaughlin,MIN,@ATL,2021-01-18,L,19,4,2,7,28.6,0,3,0.0,0,0,-,0,2,2,4,1,0,1,1,-15,2020-21
1029,Nate Hinton,DAL,vs.CHI,2021-01-17,L,6,0,0,3,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-7,2020-21
1030,Tyler Bey,DAL,vs.CHI,2021-01-17,L,2,1,0,1,0.0,0,0,-,1,2,50.0,0,1,1,0,0,0,0,0,-1,2020-21
1031,Luka Doncic,DAL,vs.CHI,2021-01-17,L,38,36,13,30,43.3,6,11,54.5,4,6,66.7,6,10,16,15,2,0,5,2,-7,2020-21
1032,Wes Iwundu,DAL,vs.CHI,2021-01-17,L,30,9,4,7,57.1,1,4,25.0,0,0,-,1,2,3,1,1,0,1,2,-11,2020-21
1033,Boban Marjanovic,DAL,vs.CHI,2021-01-17,L,6,2,1,4,25.0,0,0,-,0,0,-,1,3,4,0,0,0,0,3,-3,2020-21
1034,Willie Cauley-Stein,DAL,vs.CHI,2021-01-17,L,27,10,5,8,62.5,0,1,0.0,0,1,0.0,1,4,5,0,0,0,1,2,-4,2020-21
1035,Kristaps Porzingis,DAL,vs.CHI,2021-01-17,L,33,20,9,19,47.4,0,7,0.0,2,2,100,2,6,8,0,0,2,0,5,-3,2020-21
1036,James Johnson,DAL,vs.CHI,2021-01-17,L,21,10,4,6,66.7,1,2,50.0,1,3,33.3,0,2,2,0,0,0,5,4,-19,2020-21
1037,Patrick Williams,CHI,@DAL,2021-01-17,W,23,5,2,5,40.0,1,1,100,0,0,-,0,5,5,1,0,0,1,4,0,2020-21
1038,Daniel Gafford,CHI,@DAL,2021-01-17,W,13,7,3,3,100,0,0,-,1,2,50.0,0,3,3,0,0,2,0,2,14,2020-21
1039,Coby White,CHI,@DAL,2021-01-17,W,25,0,0,5,0.0,0,2,0.0,0,0,-,0,3,3,4,1,0,1,1,-3,2020-21
1040,Wendell Carter Jr.,CHI,@DAL,2021-01-17,W,27,12,3,7,42.9,1,1,100,5,8,62.5,2,5,7,1,5,1,2,1,-1,2020-21
1041,Lauri Markkanen,CHI,@DAL,2021-01-17,W,33,29,10,19,52.6,2,7,28.6,7,8,87.5,1,9,10,3,0,0,2,2,5,2020-21
1042,Zach LaVine,CHI,@DAL,2021-01-17,W,31,10,1,8,12.5,0,5,0.0,8,8,100,0,0,0,10,3,0,2,3,11,2020-21
1043,Josh Green,DAL,vs.CHI,2021-01-17,L,32,4,1,4,25.0,0,2,0.0,2,2,100,1,3,4,1,0,0,3,2,0,2020-21
1044,Tyrell Terry,DAL,vs.CHI,2021-01-17,L,15,4,2,4,50.0,0,2,0.0,0,0,-,0,0,0,0,2,0,0,0,-2,2020-21
1045,Ryan Arcidiacono,CHI,@DAL,2021-01-17,W,17,4,1,3,33.3,1,3,33.3,1,2,50.0,0,4,4,5,0,0,2,2,15,2020-21
1046,Trey Burke,DAL,vs.CHI,2021-01-17,L,29,5,2,7,28.6,0,2,0.0,1,3,33.3,0,4,4,1,1,0,1,3,-23,2020-21
1047,Otto Porter Jr.,CHI,@DAL,2021-01-17,W,23,14,7,10,70.0,0,1,0.0,0,1,0.0,1,8,9,2,1,0,2,1,12,2020-21
1048,Garrett Temple,CHI,@DAL,2021-01-17,W,29,21,9,15,60.0,2,4,50.0,1,2,50.0,0,3,3,3,2,1,0,4,14,2020-21
1049,Thaddeus Young,CHI,@DAL,2021-01-17,W,19,15,7,10,70.0,0,1,0.0,1,2,50.0,1,2,3,3,2,2,1,3,13,2020-21
1050,Elfrid Payton,NYK,@BOS,2021-01-17,W,23,9,3,9,33.3,0,1,0.0,3,3,100,1,3,4,3,1,1,2,2,15,2020-21
1051,Reggie Bullock,NYK,@BOS,2021-01-17,W,28,11,4,9,44.4,3,8,37.5,0,0,-,1,6,7,0,1,0,1,2,36,2020-21
1052,Aaron Nesmith,BOS,vs.NYK,2021-01-17,L,8,0,0,4,0.0,0,2,0.0,0,0,-,0,1,1,0,0,0,0,1,-6,2020-21
1053,Daniel Theis,BOS,vs.NYK,2021-01-17,L,20,7,3,4,75.0,1,2,50.0,0,0,-,1,6,7,1,0,0,2,3,-7,2020-21
1054,Semi Ojeleye,BOS,vs.NYK,2021-01-17,L,23,4,0,6,0.0,0,6,0.0,4,4,100,1,2,3,1,0,0,1,1,-9,2020-21
1055,Jaylen Brown,BOS,vs.NYK,2021-01-17,L,33,25,9,20,45.0,3,9,33.3,4,5,80.0,3,3,6,3,1,0,2,3,-27,2020-21
1056,Jeff Teague,BOS,vs.NYK,2021-01-17,L,14,0,0,4,0.0,0,2,0.0,0,0,-,0,2,2,2,1,0,1,2,-15,2020-21
1057,Tristan Thompson,BOS,vs.NYK,2021-01-17,L,26,3,1,5,20.0,0,0,-,1,2,50.0,5,1,6,0,1,1,2,1,-18,2020-21
1058,Kemba Walker,BOS,vs.NYK,2021-01-17,L,20,9,3,13,23.1,1,8,12.5,2,3,66.7,0,3,3,4,3,0,5,1,-9,2020-21
1059,Marcus Smart,BOS,vs.NYK,2021-01-17,L,29,10,4,15,26.7,0,7,0.0,2,5,40.0,0,2,2,2,2,0,0,3,-22,2020-21
1060,Tremont Waters,BOS,vs.NYK,2021-01-17,L,7,3,1,2,50.0,1,2,50.0,0,0,-,0,1,1,1,1,0,0,0,-5,2020-21
1061,Ignas Brazdeikis,NYK,@BOS,2021-01-17,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,1,0,-5,2020-21
1062,RJ Barrett,NYK,@BOS,2021-01-17,W,29,19,5,11,45.5,2,4,50.0,7,8,87.5,4,7,11,3,2,0,4,3,32,2020-21
1063,Theo Pinson,NYK,@BOS,2021-01-17,W,4,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,2,-6,2020-21
1064,Mitchell Robinson,NYK,@BOS,2021-01-17,W,24,8,4,5,80.0,0,0,-,0,0,-,4,3,7,0,0,2,1,4,28,2020-21
1065,Dennis Smith Jr.,NYK,@BOS,2021-01-17,W,4,1,0,2,0.0,0,1,0.0,1,2,50.0,0,0,0,0,0,0,0,0,-5,2020-21
1066,Javonte Green,BOS,vs.NYK,2021-01-17,L,18,8,2,3,66.7,0,1,0.0,4,6,66.7,2,3,5,0,0,0,1,1,-10,2020-21
1067,Obi Toppin,NYK,@BOS,2021-01-17,W,17,12,5,8,62.5,2,4,50.0,0,0,-,0,5,5,0,1,1,1,0,1,2020-21
1068,Julius Randle,NYK,@BOS,2021-01-17,W,31,20,7,14,50.0,2,5,40.0,4,5,80.0,0,12,12,4,3,0,3,2,29,2020-21
1069,Payton Pritchard,BOS,vs.NYK,2021-01-17,L,17,3,1,3,33.3,1,3,33.3,0,0,-,1,4,5,0,0,1,2,1,-4,2020-21
1070,Immanuel Quickley,NYK,@BOS,2021-01-17,W,21,17,7,12,58.3,2,4,50.0,1,1,100,0,0,0,8,1,1,2,4,20,2020-21
1071,Grant Williams,BOS,vs.NYK,2021-01-17,L,24,3,1,5,20.0,0,4,0.0,1,4,25.0,1,1,2,1,1,0,1,5,-18,2020-21
1072,Kevin Knox II,NYK,@BOS,2021-01-17,W,15,3,1,3,33.3,1,2,50.0,0,0,-,0,2,2,1,0,0,0,3,3,2020-21
1073,Nerlens Noel,NYK,@BOS,2021-01-17,W,24,5,2,3,66.7,0,0,-,1,2,50.0,0,4,4,0,2,2,0,4,2,2020-21
1074,Austin Rivers,NYK,@BOS,2021-01-17,W,16,0,0,3,0.0,0,1,0.0,0,0,-,0,1,1,2,0,0,1,2,0,2020-21
1075,Cassius Stanley,IND,@LAC,2021-01-17,L,8,0,0,3,0.0,0,1,0.0,0,0,-,0,0,0,0,0,1,0,4,-4,2020-21
1076,Paul George,LAC,vs.IND,2021-01-17,W,34,20,7,11,63.6,2,5,40.0,4,4,100,0,7,7,4,1,0,4,2,16,2020-21
1077,Patrick Patterson,LAC,vs.IND,2021-01-17,W,18,10,3,6,50.0,3,6,50.0,1,2,50.0,0,0,0,1,1,0,2,2,21,2020-21
1078,Marcus Morris Sr.,LAC,vs.IND,2021-01-17,W,27,20,7,11,63.6,4,7,57.1,2,3,66.7,2,5,7,3,1,0,1,1,35,2020-21
1079,T.J. McConnell,IND,@LAC,2021-01-17,L,26,2,1,3,33.3,0,0,-,0,0,-,0,3,3,6,2,0,2,1,-18,2020-21
1080,Jalen Lecque,IND,@LAC,2021-01-17,L,5,2,0,2,0.0,0,1,0.0,2,2,100,0,1,1,1,0,0,0,0,-7,2020-21
1081,Kelan Martin,IND,@LAC,2021-01-17,L,5,0,0,2,0.0,0,1,0.0,0,0,-,0,2,2,0,0,0,2,0,-7,2020-21
1082,Brian Bowen II,IND,@LAC,2021-01-17,L,5,3,1,2,50.0,0,0,-,1,1,100,0,1,1,0,0,0,0,0,-7,2020-21
1083,Mfiondu Kabengele,LAC,vs.IND,2021-01-17,W,5,1,0,0,-,0,0,-,1,2,50.0,0,2,2,0,0,1,0,0,7,2020-21
1084,Amir Coffey,LAC,vs.IND,2021-01-17,W,7,2,1,2,50.0,0,0,-,0,2,0.0,0,0,0,0,0,0,1,0,2,2020-21
1085,Doug McDermott,IND,@LAC,2021-01-17,L,32,23,9,12,75.0,5,7,71.4,0,0,-,0,1,1,2,0,0,3,0,-20,2020-21
1086,Edmond Sumner,IND,@LAC,2021-01-17,L,21,9,3,7,42.9,1,3,33.3,2,3,66.7,1,2,3,2,3,0,2,4,-4,2020-21
1087,Reggie Jackson,LAC,vs.IND,2021-01-17,W,14,6,3,8,37.5,0,2,0.0,0,0,-,0,3,3,3,0,0,3,2,12,2020-21
1088,Goga Bitadze,IND,@LAC,2021-01-17,L,16,5,2,5,40.0,0,1,0.0,1,2,50.0,1,1,2,0,2,1,1,2,-13,2020-21
1089,Luke Kennard,LAC,vs.IND,2021-01-17,W,21,20,7,12,58.3,5,8,62.5,1,1,100,0,4,4,2,0,0,2,2,14,2020-21
1090,Justin Holiday,IND,@LAC,2021-01-17,L,35,15,6,13,46.2,3,9,33.3,0,0,-,1,2,3,1,3,0,2,0,-16,2020-21
1091,Terance Mann,LAC,vs.IND,2021-01-17,W,11,2,1,2,50.0,0,0,-,0,0,-,1,2,3,0,0,0,1,1,7,2020-21
1092,Daniel Oturu,LAC,vs.IND,2021-01-17,W,5,4,2,4,50.0,0,0,-,0,0,-,2,1,3,1,0,0,0,1,7,2020-21
1093,Aaron Holiday,IND,@LAC,2021-01-17,L,19,2,1,5,20.0,0,3,0.0,0,0,-,0,1,1,2,0,0,1,2,-25,2020-21
1094,Ivica Zubac,LAC,vs.IND,2021-01-17,W,16,6,3,3,100,0,0,-,0,0,-,1,5,6,2,1,1,1,4,-6,2020-21
1095,Domantas Sabonis,IND,@LAC,2021-01-17,L,34,19,7,14,50.0,0,3,0.0,5,8,62.5,3,11,14,6,2,0,1,4,-24,2020-21
1096,Malcolm Brogdon,IND,@LAC,2021-01-17,L,34,16,7,21,33.3,2,9,22.2,0,0,-,0,2,2,8,1,0,2,2,-20,2020-21
1097,Kawhi Leonard,LAC,vs.IND,2021-01-17,W,31,17,8,13,61.5,1,2,50.0,0,0,-,2,5,7,5,0,0,1,2,19,2020-21
1098,Patrick Beverley,LAC,vs.IND,2021-01-17,W,26,11,3,7,42.9,2,4,50.0,3,4,75.0,1,4,5,6,0,1,0,2,29,2020-21
1099,Nicolas Batum,LAC,vs.IND,2021-01-17,W,25,10,3,8,37.5,2,5,40.0,2,2,100,0,5,5,0,0,0,0,0,2,2020-21
1100,Eric Bledsoe,NOP,@SAC,2021-01-17,W,30,21,8,14,57.1,3,4,75.0,2,2,100,1,5,6,1,1,0,2,1,-2,2020-21
1101,Steven Adams,NOP,@SAC,2021-01-17,W,32,12,3,8,37.5,0,0,-,6,8,75.0,8,7,15,4,0,0,2,0,0,2020-21
1102,Richaun Holmes,SAC,vs.NOP,2021-01-17,L,42,16,7,12,58.3,0,1,0.0,2,2,100,2,5,7,1,1,2,0,5,4,2020-21
1103,Buddy Hield,SAC,vs.NOP,2021-01-17,L,36,18,5,12,41.7,5,11,45.5,3,3,100,0,4,4,3,1,1,2,4,13,2020-21
1104,Chimezie Metu,SAC,vs.NOP,2021-01-17,L,5,4,2,3,66.7,0,0,-,0,0,-,1,2,3,0,0,1,1,1,-7,2020-21
1105,De'Aaron Fox,SAC,vs.NOP,2021-01-17,L,39,43,17,27,63.0,3,9,33.3,6,8,75.0,1,3,4,13,4,0,2,3,18,2020-21
1106,Kira Lewis Jr.,NOP,@SAC,2021-01-17,W,15,3,1,5,20.0,0,0,-,1,2,50.0,0,2,2,5,0,0,0,3,9,2020-21
1107,Tyrese Haliburton,SAC,vs.NOP,2021-01-17,L,23,2,1,3,33.3,0,1,0.0,0,0,-,1,2,3,2,0,2,2,1,-12,2020-21
1108,Nickeil Alexander-Walker,NOP,@SAC,2021-01-17,W,33,9,3,8,37.5,1,3,33.3,2,5,40.0,1,4,5,5,2,0,0,2,-2,2020-21
1109,Jaxson Hayes,NOP,@SAC,2021-01-17,W,16,11,4,6,66.7,0,0,-,3,3,100,1,5,6,0,0,0,1,1,1,2020-21
1110,Zion Williamson,NOP,@SAC,2021-01-17,W,35,31,13,15,86.7,0,0,-,5,5,100,1,5,6,2,0,0,2,4,14,2020-21
1111,Marvin Bagley III,SAC,vs.NOP,2021-01-17,L,36,26,11,19,57.9,2,6,33.3,2,2,100,3,7,10,0,1,1,2,2,-9,2020-21
1112,Josh Hart,NOP,@SAC,2021-01-17,W,25,5,2,5,40.0,1,3,33.3,0,0,-,2,3,5,3,1,0,1,1,2,2020-21
1113,Glenn Robinson III,SAC,vs.NOP,2021-01-17,L,8,5,1,3,33.3,1,2,50.0,2,2,100,0,1,1,0,0,0,0,2,-17,2020-21
1114,Cory Joseph,SAC,vs.NOP,2021-01-17,L,9,2,1,4,25.0,0,3,0.0,0,0,-,0,0,0,0,0,0,0,3,-23,2020-21
1115,JJ Redick,NOP,@SAC,2021-01-17,W,18,14,3,5,60.0,3,5,60.0,5,5,100,0,0,0,3,0,0,0,0,11,2020-21
1116,Brandon Ingram,NOP,@SAC,2021-01-17,W,35,22,8,19,42.1,3,7,42.9,3,4,75.0,0,3,3,1,1,1,5,3,-8,2020-21
1117,Harrison Barnes,SAC,vs.NOP,2021-01-17,L,41,7,2,8,25.0,2,6,33.3,1,1,100,0,1,1,4,0,0,1,3,8,2020-21
1118,Donovan Mitchell,UTA,@DEN,2021-01-17,W,38,18,7,20,35.0,0,7,0.0,4,4,100,1,2,3,7,1,2,4,4,-6,2020-21
1119,Royce O'Neale,UTA,@DEN,2021-01-17,W,34,8,2,4,50.0,2,3,66.7,2,2,100,0,5,5,3,1,0,1,4,-2,2020-21
1120,Bojan Bogdanovic,UTA,@DEN,2021-01-17,W,34,17,6,13,46.2,5,9,55.6,0,2,0.0,1,2,3,3,0,0,4,1,-4,2020-21
